,commenter_id,commenter_name,comment_text,comment_time
2990,100090805759191,Đinh Thị Hau,Khum có câu hỏi mở là t pass cái test này chắc lun á mấy bà :3,2023-11-22 00:00:00
2991,100086921405438,Phước Vàng Bùi,"Tự thấy khó nha, nhất là phần câu hỏi mở :<",2023-11-22 00:00:00
2992,100073005216497,Dạ Tùng Vũ,Cũng muốn 1 lần đi thăm vườn cafe ở Buôn Mê Thuột :V,2023-11-15 00:00:00
2993,100003721526335,Van Trang,Toai cũn mún điiii,2023-11-15 00:00:00
2994,100076275164166,Huỳnh Bảo Thạch,"các bạn trẻ ngày nay có nhiều cơ hội thực tập, trải nghiệm thực tế thật đấy :>",2023-11-15 00:00:00
2995,100082238298278,Phan Nghi Băng,Mình cũng muốn đky thì làm tnao ạ?,2023-11-15 00:00:00
2996,100054976802438,Phạm Yen Chau,"chương trình của nescafe thú vị ghê, tham gia ntn nhỉ các bác :v",2023-11-15 00:00:00
2997,100095079216935,Phạm Đoan Diệu,Ai chỉ tui các đki chương trình vớiii,2023-11-15 00:00:00
2998,100048273077624,Phước Phượng Lý,"Wow ctr đỉnh v á, đi thăm vườn cafe luôn cơ mà",2023-11-15 00:00:00
2999,100090346895801,Tạ Thị Như Quỳnh,Nhớ ngâm cứu cái Nescafé plan r mới làm test nha mấy bà :3,2023-11-22 00:00:00
3000,100074247317937,Băng Chấn Đặng,"nescafe tổ chức ctrinh này 1 công đôi việc, vừa tốt cho các bạn thực tập mà cũng góp phần bảo vệ môi trường nữa <3",2023-11-15 00:00:00
3001,61551557082591,Trần Quỳnh Khuê,"chương trình siu thực tập này keo nha, rất hợp với 1 đứa đam mê cafe như mình =)",2023-11-15 00:00:00
3002,100057139298223,Huỳnh Lâm Dương,chương trình thực tập của nescafe xịn thế này kiểu gì cũng thu hút được nhiều bạn trẻ lắm đấy (y),2023-11-15 00:00:00
3003,100074801555468,Hương Hiền Nguyễn,lần đầu thấy chương trình thực tập vừa được trải nghiệm thực tế mà còn được hỗ trợ cả các chi phí nữa :)),2023-11-15 00:00:00
3004,100066434350260,Insight mất lòng,"Công nhận packaging lần này của U:Tea đã con mắt thiệt, nhìn rất xịn xò nha mnggg",2023-11-15 00:00:00
3005,100095408418460,Herman Gilmore,Insight mất lòng Chắc t con gái rồi,2023-11-15 00:00:00
3006,100082754775311,Chỉ để comment dạo thoi,Insight mất lòng ủa má nhầm cap rồi,2023-11-15 00:00:00
3007,100094456303607,Trần Tuyết Nhi,Insight mất lòng Ad thiếu fami,2023-11-15 00:00:00
3008,61552766942781,Hà Giang Lê,Insight mất lòng khoan đã,2023-11-15 00:00:00
3009,100095758651412,Hector Villa,Insight mất lòng À,2023-11-15 00:00:00
3010,61550688687608,Bernard Frost,Insight mất lòng Pk là ngày nắng vs ngày lạnh,2023-11-15 00:00:00
3011,100063438054096,Khoai lang và sữa không đường,Insight mất lòng nhìn ngonnnn Dạy order taobao trực tiếp không qua trung gian,2023-11-22 00:00:00
